Uuid,Void/Retire,Fully specified name:en,Short name:en,Description:en,...,Normal low,Normal high,Units,Allow decimals,Display precision,_version:1,_order:13,Data class,Data type,Answers
fe4c780d-be3f-4b40-9da5-7ce78ab41a9a,,Variable Name,Name,,,,,,,,,,Question,Text,
4e22fcde-d93a-4211-a3bc-17cced52aa4f,,Variable Result,Result,,,,,,,,,,Question,Text,
bc65335c-e032-4077-97c1-2366427f977c,,Indicator Progress Tracking,Indicator Information,,,,,,,,,,Misc,N/A,
5a89da53-a36b-4183-adca-526ccd450d5a,,Progress Tracking Form,,,,,,,,,,,Misc,N/A,
